"","gid","y_start","y_end","lnpeaksize","left","nat","right","rel","EAP","ECA","LAC","MENA","NA","SAS","SSA","mul_bases","total_atks","nonterr_deaths","competitor","ly","lpop","polity","elevation","diversity","shr_trans","duration","dur2","lcomp","latks","polity2","polity2sqr","end"
"747",747,2011,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,6,3,65.3333333333333,7.34610176086426,20.9690017700195,9,621.8081,0,0,5,25,4.19469261169434,1.94591009616852,19,361,0
"748",748,2009,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,5,0,5.625,10.0241851806641,16.203577041626,10,498.576,0,0,7,49,1.89085042476654,1.7917594909668,20,400,0
"749",749,1970,1980,6.90775537490845,0,1,0,0,0,0,0,0,0,0,1,1,13,2,0.545454545454545,7.1541543006897,15.9232883453369,-2,653.4844,0,0,11,121,0.43531808257103,2.63905739784241,8,64,1
"750",750,1997,NA,4.60517024993896,0,1,0,0,0,0,0,0,0,1,0,0,1,0,53.65,6.6164026260376,20.7572212219238,9,621.8081,0,0,19,361,4.00094938278198,0.6931471824646,19,361,0
"751",751,2013,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,1,0,12,8.95594882965088,15.4786977767944,6,1249.193,0,1,3,9,2.56494927406311,0.6931471824646,16,256,0
"752",752,2004,NA,6.90775537490845,0,0,0,1,0,0,0,1,0,0,0,0,530,1127,0.538461538461538,9.95251655578613,17.2148551940918,-10,665.2062,0.719512,0.15,12,144,0.430782914161682,6.27476215362549,0,0,0
"753",753,1998,NA,4.60517024993896,0,1,0,0,0,0,0,0,0,1,0,0,1,0,30.3157894736842,6.94711256027222,18.9545993804932,6,1018.028,0,0,18,324,3.44412231445312,0.6931471824646,16,256,0
"754",754,1970,NA,9.21034049987793,0,1,0,0,0,0,0,1,0,0,0,1,44,70,8.75531914893617,9.56221103668213,15.4092931747437,6,508.4611,0,0,46,2116,2.27781271934509,3.80666255950928,16,256,0
"755",755,1993,1998,4.60517024993896,0,0,0,1,0,0,0,1,0,1,0,1,245,328,3.08333333333333,7.44510507583618,17.5382633209229,-6.5,1103.15395,0.527681660899654,0.0625,6,36,1.40691363811493,5.50533151626587,3.5,12.25,1
"756",756,2003,2004,2.30258512496948,0,0,0,1,0,0,0,1,0,0,0,0,3,10,0.5,9.79562091827393,16.9315299987793,-10,665.2062,0.5,0,2,4,0.405465096235275,1.3862943649292,0,0,1
"757",757,2002,2002,2.30258512496948,0,0,0,1,0,0,0,0,0,1,0,0,2,8,26,6.75168418884277,18.7898559570312,-5,1018.028,0.5,0,1,1,3.29583692550659,1.0986123085022,5,25,1
"758",758,1989,1996,6.90775537490845,0,0,0,1,0,0,0,0,0,0,1,1,2,3,2.08333333333333,6.30884599685669,17.1169681549072,-1.666667,834.272,0,0,8,64,1.12601125240326,1.0986123085022,8.33333301544189,69.4444427490234,1
"759",759,2002,NA,2.30258512496948,0,1,0,0,0,0,0,0,0,1,0,0,2,0,57.4666666666667,7.34610176086426,20.9690017700195,9,621.8081,0,0,14,196,4.06845664978027,1.0986123085022,19,361,0
"760",760,1988,NA,6.90775537490845,0,0,0,1,0,0,0,0,0,1,0,1,67,4029,14.3965517241379,6.74362516403198,18.1888561248779,-6.5,1451.369,0,1,28,784,2.73414349555969,4.21950769424438,3.5,12.25,0
